"US_IL","DS_IL","DIAMETER","MATERIAL","PRES_CLASS","MAX_PRES","MAX_VEL","SURGE_MAX","SURGE_MIN","US_ID","DS_ID","ELEVATION_US","ELEVATION_DS","ROUGHNESS","LENGTH","US_X","US_Y","DS_X","DS_Y","VERTICES","PIPE_ID","SYSTEM_TYPE","PIPE_STATUS","LINING","JOINT_TYPE","INSTALL_YEAR","VELOCITY_FLAG","SURGE_FLAG","CIVIL3D_PN_CLASS","NOTES"
"0.61","5.49","300","DI","PN16","50.51","0.88","44.32","39.7","113","193","0.61","5.49","","505.97","6.7200","5.0600","6.9700","4.3700","6.7200 5.0600|6.9700 4.3700","113_193","","open","","","","OK","OK","PN64",""
"4.27","3.05","300","DI","PN16","48.87","0.44","48.87","36.05","115","111","4.27","3.05","","353.57","6.3900","5.8500","6.1600","5.3400","6.3900 5.8500|6.1600 5.3400","115_111","","open","","","","OK","OK","PN64",""
"4.27","0.61","200","DI","PN16","50.51","0.5","50.51","36.05","115","113","4.27","0.61","","609.6","6.3900","5.8500","6.7200","5.0600","6.3900 5.8500|6.7200 5.0600","115_113","","open","","","","OK","OK","PN64",""
"4.27","4.15","300","DI","PN16","48.","-0.64","48.","36.05","115","117","4.27","4.15","","664.46","6.3900","5.8500","6.6100","6.4900","6.3900 5.8500|6.6100 6.4900","115_117","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 115"
"4.15","0.","300","DI","PN16","52.33","-0.51","52.33","36.51","117","261","4.15","0.","","196.6","6.6100","6.4900","6.3400","6.5400","6.6100 6.4900|6.3400 6.5400","117_261","","open","","","","REVERSE","OK","PN_SPECIAL_65BAR","Reverse flow - consider NRV at Node 117"
"0.61","0.","300","DI","PN16","52.02","1.04","52.02","41.1","119","120","0.61","0.","","222.5","7.2200","6.9400","6.7300","7.0400","7.2200 6.9400|6.7300 7.0400","119_120","","open","","","","OK","OK","PN_SPECIAL_65BAR",""
"0.61","10.21","300","DI","PN16","51.16","0.53","40.95","41.1","119","151","0.61","10.21","","1054.61","7.2200","6.9400","8.6200","6.5200","7.2200 6.9400|8.6200 6.5200","119_151","","open","","","","OK","OK","PN64",""
"0.61","3.99","750","DI","PN16","51.16","1.12","47.08","41.1","119","157","0.61","3.99","","633.98","7.2200","6.9400","7.5700","6.1400","7.2200 6.9400|7.5700 6.1400","119_157","","open","","","","OK","OK","PN64",""
"0.","4.15","300","DI","PN16","52.02","0.93","48.","41.36","120","117","0.","4.15","","569.98","6.7300","7.0400","6.6100","6.4900","6.7300 7.0400|6.6100 6.4900","120_117","","open","","","","OK","OK","PN64",""
"0.","5.18","200","DI","PN16","52.02","0.98","47.06","41.36","120","257","0.","5.18","","196.6","6.7300","7.0400","6.4500","7.1100","6.7300 7.0400|6.4500 7.1100","120_257","","open","","","","OK","OK","PN64",""
"-0.61","0.61","750","DI","PN16","53.04","1.38","51.16","42.69","121","119","-0.61","0.61","","609.6","7.1700","7.7700","7.2200","6.9400","7.1700 7.7700|7.2200 6.9400","121_119","","open","","","","OK","OK","PN64",""
"-0.61","0.","200","DI","PN16","53.04","0.73","52.02","42.69","121","120","-0.61","0.","","624.84","7.1700","7.7700","6.7300","7.0400","7.1700 7.7700|6.7300 7.0400","121_120","","open","","","","OK","OK","PN_SPECIAL_65BAR",""
"-0.61","3.35","600","DI","PN16","53.04","-1.66","48.61","42.69","121","125","-0.61","3.35","","283.46","7.1700","7.7700","7.5000","7.8200","7.1700 7.7700|7.5000 7.8200","121_125","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 121"
"3.35","-0.61","750","DI","PN16","53.04","1.82","53.04","38.69","123","121","3.35","-0.61","","457.2","7.1200","8.3200","7.1700","7.7700","7.1200 8.3200|7.1700 7.7700","123_121","","open","","","","OK","OK","PN_SPECIAL_66BAR",""
"3.35","17.07","600","DI","PN16","48.61","-1.72","33.35","39.8","125","127","3.35","17.07","","987.55","7.5000","7.8200","8.9300","8.0500","7.5000 7.8200|8.9300 8.0500","125_127","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 125"
"3.35","20.18","200","DI","PN16","48.61","0.44","31.","39.8","125","153","3.35","20.18","","1389.89","7.5000","7.8200","8.5700","6.9000","7.5000 7.8200|8.5700 6.9000","125_153","","open","","","","OK","OK","PN40",""
"17.07","15.54","600","DI","PN16","34.87","0.1","34.87","30.05","127","129","17.07","15.54","","274.32","8.9300","8.0500","9.2400","8.0400","8.9300 8.0500|9.2400 8.0400","127_129","","open","","","","OK","OK","PN64",""
"15.54","1.83","400","DI","PN16","48.59","0.04","48.59","31.57","129","131","15.54","1.83","","1975.1","9.2400","8.0400","11.5500","9.0100","9.2400 8.0400|11.5500 9.0100","129_131","","open","","","","OK","OK","PN64",""
"15.54","9.45","200","DI","PN16","40.19","0.83","40.19","31.57","129","139","15.54","9.45","","838.2","9.2400","8.0400","10.1400","7.4800","9.2400 8.0400|10.1400 7.4800","129_139","","open","","","","OK","OK","PN64",""
"9.45","1.22","200","DI","PN16","48.71","0.81","48.71","34.52","139","141","9.45","1.22","","624.84","10.1400","7.4800","10.8800","7.0300","10.1400 7.4800|10.8800 7.0300","139_141","","open","","","","OK","OK","PN64",""
"-1.37","1.22","200","DI","PN16","51.3","-1.23","48.71","41.84","143","141","-1.37","1.22","","426.72","11.4200","6.7000","10.8800","7.0300","11.4200 6.7000|10.8800 7.0300","143_141","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 143"
"0.3","1.22","300","DI","PN16","49.71","0.36","48.71","41.38","145","141","0.3","1.22","","1069.85","10.0600","5.8800","10.8800","7.0300","10.0600 5.8800|10.8800 7.0300","145_141","","open","","","","OK","OK","PN64",""
"5.64","0.3","300","DI","PN16","49.71","0.38","49.71","36.04","147","145","5.64","0.3","","670.56","9.2200","6.2100","10.0600","5.8800","9.2200 6.2100|10.0600 5.8800","147_145","","open","","","","OK","OK","PN64",""
"5.64","4.88","300","DI","PN16","45.23","-0.38","45.23","36.04","147","149","5.64","4.88","","268.22","9.2200","6.2100","9.0300","6.3200","9.2200 6.2100|9.0300 6.3200","147_149","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 147"
"4.88","10.21","200","DI","PN16","45.23","-0.92","40.95","36.81","149","151","4.88","10.21","","310.9","9.0300","6.3200","8.6200","6.5200","9.0300 6.3200|8.6200 6.5200","149_151","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 149"
"9.75","-1.37","200","DI","PN16","51.3","-1.21","51.3","28.59","15","143","9.75","-1.37","","502.92","11.7900","7.2400","11.4200","6.7000","11.7900 7.2400|11.4200 6.7000","15_143","","open","","","","REVERSE","OK","PN_SPECIAL_64BAR","Reverse flow - consider NRV at Node 15"
"10.21","20.18","300","DI","PN16","40.95","-0.14","31.","31.49","151","153","10.21","20.18","","356.62","8.6200","6.5200","8.5700","6.9000","8.6200 6.5200|8.5700 6.9000","151_153","","open","","","","REVERSE","OK","PN40","Reverse flow - consider NRV at Node 151"
"3.99","1.83","750","DI","PN16","48.28","1.11","48.28","37.46","157","159","3.99","1.83","","886.97","7.5700","6.1400","7.0500","5.3300","7.5700 6.1400|7.0500 5.3300","157_159","","open","","","","OK","OK","PN64",""
"1.83","1.22","750","DI","PN16","48.28","1.1","48.23","39.27","159","161","1.83","1.22","","609.6","7.0500","5.3300","7.6500","4.6600","7.0500 5.3300|7.6500 4.6600","159_161","","open","","","","OK","OK","PN64",""
"1.22","1.52","750","DI","PN16","48.23","1.08","47.78","39.65","161","163","1.22","1.52","","131.06","7.6500","4.6600","7.7400","4.5700","7.6500 4.6600|7.7400 4.5700","161_163","","open","","","","OK","OK","PN64",""
"1.22","4.72","200","DI","PN16","48.23","0.52","45.07","39.65","161","195","1.22","4.72","","701.04","7.6500","4.6600","7.0700","4.4900","7.6500 4.6600|7.0700 4.4900","161_195","","open","","","","OK","OK","PN64",""
"1.52","1.52","350","DI","PN16","47.78","0.","47.78","39.29","163","164","1.52","1.52","","45.72","7.7400","4.5700","7.9200","4.6100","7.7400 4.5700|7.9200 4.6100","163_164","","open","","","","ZERO_FLOW","OK","PN64",""
"1.52","0.","750","DI","PN16","48.89","1.08","48.89","39.29","163","265","1.52","0.","","365.76","7.7400","4.5700","7.7400","4.1500","7.7400 4.5700|7.7400 4.1500","163_265","","open","","","","OK","OK","PN64",""
"1.52","-0.61","350","DI","PN16","49.91","0.","49.91","39.29","164","166","1.52","-0.61","","149.35","7.9200","4.6100","8.0700","4.6100","7.9200 4.6100|8.0700 4.6100","164_166","","open","","","","ZERO_FLOW","OK","PN64",""
"-1.52","-1.52","200","DI","PN16","50.21","-0.05","50.21","42.15","167","169","-1.52","-1.52","","18.29","7.8900","3.9600","7.8300","3.8800","7.8900 3.9600|7.8300 3.8800","167_169","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 167"
"-1.52","-1.22","750","DI","PN16","50.21","1.07","49.48","42.15","169","171","-1.52","-1.22","","387.1","7.8300","3.8800","8.1200","3.6000","7.8300 3.8800|8.1200 3.6000","169_171","","open","","","","OK","OK","PN64",""
"-1.52","0.","300","DI","PN16","50.21","0.54","48.66","42.15","169","269","-1.52","0.","","196.9","7.8300","3.8800","7.6300","3.7000","7.8300 3.8800|7.6300 3.7000","169_269","","open","","","","OK","OK","PN64",""
"-1.22","-1.22","750","DI","PN16","49.48","0.73","49.47","41.74","171","173","-1.22","-1.22","","15.24","8.1200","3.6000","8.1900","3.5300","8.1200 3.6000|8.1900 3.5300","171_173","","open","","","","OK","OK","PN64",""
"-1.22","-0.61","600","DI","PN16","49.47","1.14","47.","41.73","173","199","-1.22","-0.61","","1219.2","8.1900","3.5300","8.9700","2.5700","8.1900 3.5300|8.9700 2.5700","173_199","","open","","","","OK","OK","PN64",""
"2.44","2.44","300","DI","PN16","45.64","-1.75","45.62","38.16","177","179","2.44","2.44","","9.14","7.9000","3.2300","7.8400","3.1700","7.9000 3.2300|7.8400 3.1700","177_179","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 177"
"2.44","3.35","300","DI","PN16","45.62","-0.55","44.77","38.25","179","183","2.44","3.35","","64.01","7.8400","3.1700","7.7600","3.1000","7.8400 3.1700|7.7600 3.1000","179_183","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 179"
"2.44","2.44","300","DI","PN16","45.66","-1.69","45.64","38.08","181","177","2.44","2.44","","9.14","7.8400","3.2700","7.9000","3.2300","7.8400 3.2700|7.9000 3.2300","181_177","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 181"
"2.44","1.83","600","DI","PN16","46.32","-0.6","46.32","38.08","181","271","2.44","1.83","","79.25","7.8400","3.2700","7.9200","3.3500","7.8400 3.2700|7.9200 3.3500","181_271","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 181"
"3.35","4.88","200","DI","PN16","44.77","0.62","43.24","37.27","183","185","3.35","4.88","","155.45","7.7600","3.1000","7.6200","2.9500","7.7600 3.1000|7.6200 2.9500","183_185","","open","","","","OK","OK","PN64",""
"4.88","6.4","300","DI","PN16","43.","0.57","39.96","35.3","184","205","4.88","6.4","","1380.74","7.6700","2.9000","8.9000","1.9700","7.6700 2.9000|8.9000 1.9700","184_205","","open","","","","OK","OK","PN64",""
"4.88","4.88","200","DI","PN16","43.24","1.28","43.","35.42","185","184","4.88","4.88","","30.45","7.6200","2.9500","7.6700","2.9000","7.6200 2.9500|7.6700 2.9000","185_184","","open","","","","OK","OK","PN64",""
"3.81","6.4","200","DI","PN16","44.91","1.16","42.11","36.55","187","204","3.81","6.4","","30.45","7.2100","3.3600","7.2500","3.3200","7.2100 3.3600|7.2500 3.3200","187_204","","open","","","","OK","OK","PN64",""
"1.22","3.35","300","DI","PN16","47.44","0.6","44.77","39.3","189","183","1.22","3.35","","411.48","7.3600","3.4700","7.7600","3.1000","7.3600 3.4700|7.7600 3.1000","189_183","","open","","","","OK","OK","PN64",""
"1.22","3.81","200","DI","PN16","47.44","0.44","44.91","39.3","189","187","1.22","3.81","","152.4","7.3600","3.4700","7.2100","3.3600","7.3600 3.4700|7.2100 3.3600","189_187","","open","","","","OK","OK","PN64",""
"7.62","3.81","300","DI","PN16","44.91","0.63","44.91","32.73","191","187","7.62","3.81","","780.29","6.7400","4.2900","7.2100","3.3600","6.7400 4.2900|7.2100 3.3600","191_187","","open","","","","OK","OK","PN64",""
"7.62","5.49","300","DI","PN16","44.32","-0.28","44.32","32.73","191","193","7.62","5.49","","158.5","6.7400","4.2900","6.9700","4.3700","6.7400 4.2900|6.9700 4.3700","191_193","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 191"
"5.49","4.72","300","DI","PN16","45.07","-0.23","45.07","34.88","193","195","5.49","4.72","","109.73","6.9700","4.3700","7.0700","4.4900","6.9700 4.3700|7.0700 4.4900","193_195","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 193"
"5.49","6.4","300","DI","PN16","44.32","0.73","42.75","34.88","193","267","5.49","6.4","","356.62","6.9700","4.3700","7.1300","3.9500","6.9700 4.3700|7.1300 3.9500","193_267","","open","","","","OK","OK","PN64",""
"7.01","7.62","300","DI","PN16","43.4","0.7","42.19","33.3","197","191","7.01","7.62","","350.52","6.3900","4.6300","6.7400","4.2900","6.3900 4.6300|6.7400 4.2900","197_191","","open","","","","OK","OK","PN64",""
"-0.61","0.03","600","DI","PN16","47.","1.06","46.1","39.94","199","201","-0.61","0.03","","192.02","8.9700","2.5700","9.4200","2.6100","8.9700 2.5700|9.4200 2.6100","199_201","","open","","","","OK","OK","PN64",""
"-0.61","2.44","300","DI","PN16","47.","0.19","43.93","39.94","199","273","-0.61","2.44","","220.98","8.9700","2.5700","8.8900","2.2500","8.9700 2.5700|8.8900 2.2500","199_273","","open","","","","OK","OK","PN64",""
"35.51","35.51","2500","DI","PN16","7.96","0.01","7.96","6.24","2","50","35.51","35.51","","30.18","10.0600","1.0500","10.0600","0.9200","10.0600 1.0500|10.0600 0.9200","2_50","","open","","","","OK","OK","PN10",""
"39.32","17.07","500","DI","PN16","33.35","2.63","33.35","8.62","20","127","39.32","17.07","","239.27","8.9700","8.2000","8.9300","8.0500","8.9700 8.2000|8.9300 8.0500","20_127","","open","","","","HIGH_VEL","OK","PN64","Velocity 2.63m/s exceeds 2.0m/s - upsize pipe"
"0.03","0.61","600","DI","PN16","46.1","1.","45.47","39.11","201","203","0.03","0.61","","36.58","9.4200","2.6100","9.4900","2.7100","9.4200 2.6100|9.4900 2.7100","201_203","","open","","","","OK","OK","PN64",""
"0.03","3.05","300","DI","PN16","46.1","-0.42","43.07","39.11","201","275","0.03","3.05","","91.44","9.4200","2.6100","9.4700","2.5300","9.4200 2.6100|9.4700 2.5300","201_275","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 201"
"6.4","4.88","300","DI","PN16","43.24","0.52","43.24","33.93","204","185","6.4","4.88","","403.86","7.2500","3.3200","7.6200","2.9500","7.2500 3.3200|7.6200 2.9500","204_185","","open","","","","OK","OK","PN64",""
"6.4","2.74","300","DI","PN16","43.19","0.57","43.19","33.","205","207","6.4","2.74","","365.76","8.9000","1.9700","9.4500","2.0100","8.9000 1.9700|9.4500 2.0100","205_207","","open","","","","OK","OK","PN64",""
"0.3","4.88","300","DI","PN16","45.3","0.85","40.35","39.15","206","208","0.3","4.88","","155.45","9.6500","2.0200","9.9200","2.0800","9.6500 2.0200|9.9200 2.0800","206_208","","open","","","","OK","OK","PN64",""
"2.74","0.3","300","DI","PN16","45.3","0.85","45.3","36.65","207","206","2.74","0.3","","137.16","9.4500","2.0100","9.6500","2.0200","9.4500 2.0100|9.6500 2.0200","207_206","","open","","","","OK","OK","PN64",""
"4.88","-0.61","300","DI","PN16","45.18","0.85","45.18","34.65","208","209","4.88","-0.61","","269.75","9.9200","2.0800","10.2900","2.0100","9.9200 2.0800|10.2900 2.0100","208_209","","open","","","","OK","OK","PN64",""
"-0.61","2.13","400","DI","PN16","45.18","0.48","42.21","40.26","209","211","-0.61","2.13","","368.81","10.2900","2.0100","10.4200","1.6900","10.2900 2.0100|10.4200 1.6900","209_211","","open","","","","OK","OK","PN64",""
"2.13","2.13","400","DI","PN16","42.21","0.22","42.19","37.55","211","213","2.13","2.13","","301.75","10.4200","1.6900","10.7500","1.8800","10.4200 1.6900|10.7500 1.8800","211_213","","open","","","","OK","OK","PN64",""
"2.13","4.27","300","DI","PN16","42.21","0.55","39.39","37.55","211","237","2.13","4.27","","633.98","10.4200","1.6900","10.7800","0.9400","10.4200 1.6900|10.7800 0.9400","211_237","","open","","","","OK","OK","PN64",""
"2.13","2.13","400","DI","PN16","42.19","0.17","42.17","37.55","213","215","2.13","2.13","","1306.07","10.7500","1.8800","12.1800","2.6600","10.7500 1.8800|12.1800 2.6600","213_215","","open","","","","OK","OK","PN64",""
"2.13","3.2","200","DI","PN16","42.19","0.37","40.56","37.55","213","229","2.13","3.2","","670.56","10.7500","1.8800","11.0200","1.0600","10.7500 1.8800|11.0200 1.0600","213_229","","open","","","","OK","OK","PN64",""
"2.13","1.83","400","DI","PN16","42.47","0.08","42.47","37.5","215","217","2.13","1.83","","505.97","12.1800","2.6600","12.8400","2.6400","12.1800 2.6600|12.8400 2.6400","215_217","","open","","","","OK","OK","PN64",""
"1.83","1.22","350","DI","PN16","43.08","0.05","43.08","37.8","217","219","1.83","1.22","","624.84","12.8400","2.6400","13.6700","2.8400","12.8400 2.6400|13.6700 2.8400","217_219","","open","","","","OK","OK","PN64",""
"1.83","2.44","300","DI","PN16","42.47","0.04","41.86","37.8","217","225","1.83","2.44","","475.49","12.8400","2.6400","13.2700","2.2500","12.8400 2.6400|13.2700 2.2500","217_225","","open","","","","OK","OK","PN64",""
"3.2","1.52","300","DI","PN16","42.23","0.03","42.23","36.72","229","231","3.2","1.52","","597.41","11.0200","1.0600","11.7000","0.7700","11.0200 1.0600|11.7000 0.7700","229_231","","open","","","","OK","OK","PN64",""
"4.27","3.2","200","DI","PN16","40.56","0.43","40.56","35.91","237","229","4.27","3.2","","240.79","10.7800","0.9400","11.0200","1.0600","10.7800 0.9400|11.0200 1.0600","237_229","","open","","","","OK","OK","PN64",""
"4.27","3.96","300","DI","PN16","39.48","-0.66","39.48","35.91","237","239","4.27","3.96","","155.45","10.7800","0.9400","10.9000","0.7000","10.7800 0.9400|10.9000 0.7000","237_239","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 237"
"3.96","3.96","300","DI","PN16","39.48","-0.26","39.48","36.46","239","241","3.96","3.96","","10.67","10.9000","0.7000","10.9300","0.6400","10.9000 0.7000|10.9300 0.6400","239_241","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 239"
"3.96","5.49","300","DI","PN16","39.48","-0.45","37.95","36.46","239","249","3.96","5.49","","131.06","10.9000","0.7000","10.6700","0.5500","10.9000 0.7000|10.6700 0.5500","239_249","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 239"
"3.96","4.27","300","DI","PN16","39.48","0.01","39.18","36.46","241","243","3.96","4.27","","670.56","10.9300","0.6400","11.2900","0.0000","10.9300 0.6400|11.2900 0.0000","241_243","","open","","","","OK","OK","PN64",""
"3.96","5.49","250","DI","PN16","39.48","-0.39","37.95","36.46","241","247","3.96","5.49","","135.64","10.9300","0.6400","10.6700","0.6200","10.9300 0.6400|10.6700 0.6200","241_247","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 241"
"5.49","5.49","300","DI","PN16","37.95","0.17","37.95","35.04","247","249","5.49","5.49","","3.05","10.6700","0.6200","10.6700","0.5500","10.6700 0.6200|10.6700 0.5500","247_249","","open","","","","OK","OK","PN64",""
"5.49","8.23","250","DI","PN16","37.95","-0.74","35.16","35.04","247","255","5.49","8.23","","423.67","10.6700","0.6200","10.2100","0.7500","10.6700 0.6200|10.2100 0.7500","247_255","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 247"
"5.49","9.14","300","DI","PN16","37.95","-0.28","34.28","35.03","249","251","5.49","9.14","","441.96","10.6700","0.5500","10.4100","0.3400","10.6700 0.5500|10.4100 0.3400","249_251","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 249"
"8.23","9.14","200","DI","PN16","35.16","0.68","34.28","33.29","255","251","8.23","9.14","","335.28","10.2100","0.7500","10.4100","0.3400","10.2100 0.7500|10.4100 0.3400","255_251","","open","","","","OK","OK","PN64",""
"8.23","10.97","250","DI","PN16","35.16","0.13","32.41","33.29","255","253","8.23","10.97","","335.28","10.2100","0.7500","9.8100","0.5700","10.2100 0.7500|9.8100 0.5700","255_253","","open","","","","OK","OK","PN64",""
"5.18","7.62","200","DI","PN16","47.06","0.47","44.67","35.74","257","259","5.18","7.62","","106.68","6.4500","7.1100","6.3400","7.1300","6.4500 7.1100|6.3400 7.1300","257_259","","open","","","","OK","OK","PN64",""
"5.18","0.","200","DI","PN16","52.33","0.51","52.33","35.74","257","261","5.18","0.","","426.72","6.4500","7.1100","6.3400","6.5400","6.4500 7.1100|6.3400 6.5400","257_261","","open","","","","OK","OK","PN_SPECIAL_65BAR",""
"7.62","0.","200","DI","PN16","52.47","0.47","52.47","33.24","259","263","7.62","0.","","426.72","6.3400","7.1300","6.1900","6.5700","6.3400 7.1300|6.1900 6.5700","259_263","","open","","","","OK","OK","PN_SPECIAL_65BAR",""
"0.","0.","300","DI","PN16","52.47","-0.63","52.47","40.65","261","263","0.","0.","","106.68","6.3400","6.5400","6.1900","6.5700","6.3400 6.5400|6.1900 6.5700","261_263","","open","","","","REVERSE","OK","PN_SPECIAL_65BAR","Reverse flow - consider NRV at Node 261"
"0.","8.69","300","DI","PN16","52.47","-0.79","45.21","40.62","263","105","0.","8.69","","830.58","6.1900","6.5700","5.1700","6.4900","6.1900 6.5700|5.1700 6.4900","263_105","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 263"
"0.","-1.52","750","DI","PN16","50.21","1.1","50.21","40.69","265","169","0.","-1.52","","179.83","7.7400","4.1500","7.8300","3.8800","7.7400 4.1500|7.8300 3.8800","265_169","","open","","","","OK","OK","PN64",""
"0.","6.4","200","DI","PN16","48.89","0.43","42.75","40.69","265","267","0.","6.4","","481.58","7.7400","4.1500","7.1300","3.9500","7.7400 4.1500|7.1300 3.9500","265_267","","open","","","","OK","OK","PN64",""
"6.4","1.22","300","DI","PN16","47.44","0.6","47.44","34.08","267","189","6.4","1.22","","374.9","7.1300","3.9500","7.3600","3.4700","7.1300 3.9500|7.3600 3.4700","267_189","","open","","","","OK","OK","PN64",""
"0.","1.22","300","DI","PN16","48.66","0.45","47.44","40.56","269","189","0.","1.22","","196.9","7.6300","3.7000","7.3600","3.4700","7.6300 3.7000|7.3600 3.4700","269_189","","open","","","","OK","OK","PN64",""
"0.","1.83","200","DI","PN16","48.66","0.47","46.32","40.56","269","271","0.","1.83","","393.19","7.6300","3.7000","7.9200","3.3500","7.6300 3.7000|7.9200 3.3500","269_271","","open","","","","OK","OK","PN64",""
"1.83","-1.22","600","DI","PN16","49.48","-0.55","49.48","38.69","271","171","1.83","-1.22","","231.65","7.9200","3.3500","8.1200","3.6000","7.9200 3.3500|8.1200 3.6000","271_171","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 271"
"2.44","6.4","300","DI","PN16","43.93","-0.24","39.96","36.91","273","205","2.44","6.4","","196.6","8.8900","2.2500","8.9000","1.9700","8.8900 2.2500|8.9000 1.9700","273_205","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 273"
"2.44","3.05","200","DI","PN16","43.93","0.24","43.07","36.91","273","275","2.44","3.05","","679.7","8.8900","2.2500","9.4700","2.5300","8.8900 2.2500|9.4700 2.5300","273_275","","open","","","","OK","OK","PN64",""
"3.05","2.74","300","DI","PN16","43.19","-0.34","43.19","36.15","275","207","3.05","2.74","","435.86","9.4700","2.5300","9.4500","2.0100","9.4700 2.5300|9.4500 2.0100","275_207","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 275"
"39.32","39.32","2500","DI","PN16","10.81","0.11","10.81","8.62","3","20","39.32","39.32","","30.18","8.9600","8.3100","8.9700","8.2000","8.9600 8.3100|8.9700 8.2000","3_20","","open","","","","OK","OK","PN16",""
"3.81","2.44","600","DI","PN16","45.66","-0.4","45.66","36.71","35","181","3.81","2.44","","9.14","7.7600","3.2100","7.8400","3.2700","7.7600 3.2100|7.8400 3.2700","35_181","","open","","","","REVERSE","OK","PN64","Reverse flow - consider NRV at Node 35"
"40.2","2.44","300","DI","PN16","45.62","2.26","45.62","3.99","40","179","40.2","2.44","","362.71","8.2400","2.9900","7.8400","3.1700","8.2400 2.9900|7.8400 3.1700","40_179","","open","","","","HIGH_VEL","OK","PN64","Velocity 2.26m/s exceeds 2.0m/s - upsize pipe"
